url,username,Date,Tweet,hashtag,mentions,likeCount,retweetCount,replyCount
https://twitter.com/dzanushkahere/status/1623066039566340096,dzanushkahere,2023-02-07 21:07:53+00:00,    Broo are you guys fine in Turkey!!?🧐😊😅🥲I saw the news on tv this morning and the first thing which I thought was the Malhan family!👀🥺🤯🤗🤲🏻🫂❣️🌹❤️‍🩹    ,"['TurkeyEarthquake', 'TurkeyQuake', 'earthquake', 'Turkey', 'triggeredinsaan', 'malhanfamily']","['', 'TriggeredInsaan,', 'AbhishekMalhan4']",1,1,0
https://twitter.com/jacktheoneye/status/1623066038924619778,jacktheoneye,2023-02-07 21:07:53+00:00, thank you so much for your support🙏💜It is 0.35 Sol so far.   ,"['TurkeyEarthquake', 'PrayForTurkey', 'donationTurkey']","['', 'OzsenOya']",1,0,0
https://twitter.com/adeliastlye/status/1623066020817604608,adeliastlye,2023-02-07 21:07:49+00:00,Damn the politicians who start a fight! Long live the brotherhood of the peoples 🙏Thank u greece👏🏻👏🏻,['TurkeyEarthquake'],none,1,0,0
https://twitter.com/IllathanS/status/1623066019441831940,IllathanS,2023-02-07 21:07:48+00:00,Never Apologize...           ,"['SidharthMalhotra', 'TurkeyEarthquake', 'TurkeyQuake', 'Turkey', 'KiaraAdvani', 'Turquia', 'GRAMMYs', 'الهلال_فلامينغو', 'Turkiye', 'BBTitansXJameson', 'KiaraSidharthwedding']",none,2,0,1
https://twitter.com/matthew_kreklau/status/1623065995760791557,matthew_kreklau,2023-02-07 21:07:43+00:00,Don't miss out.                 Fbh667,"['TurkeyEarthquake', 'BBTitians', 'TurkeyQuake', 'Turkey', 'PrayForTurkey', 'SidKiara', 'earthquake', 'GRAMMYs', 'Turkiye', 'BBTitansXJameson', 'ครูไพบูลย์', '아이엔의_스물셋도_안아줄게요', 'KiaraSidharthwedding', 'HogwartLegacy', 'الهلال_فلامينغو']",none,1,1,0
https://twitter.com/matthew_kreklau/status/1623065963414298624,matthew_kreklau,2023-02-07 21:07:35+00:00,Don't miss out.                 fhhb5,"['TurkeyEarthquake', 'BBTitians', 'TurkeyQuake', 'Turkey', 'PrayForTurkey', 'SidKiara', 'earthquake', 'GRAMMYs', 'Turkiye', 'BBTitansXJameson', 'ครูไพบูลย์', '아이엔의_스물셋도_안아줄게요', 'KiaraSidharthwedding', 'HogwartLegacy', 'الهلال_فلامينغو']",none,1,1,0
https://twitter.com/flo_krog/status/1623065954644262913,flo_krog,2023-02-07 21:07:33+00:00,The crypto community has donated more than $2.5 million to the addresses posted by  just 8h ago. 👏  ,"['TurkeyEarthquake', 'PrayForTurkeyAndSyria']","['', 'haluklevent']",1,0,0
https://twitter.com/matthew_kreklau/status/1623065941721448448,matthew_kreklau,2023-02-07 21:07:30+00:00,Don't miss out.                 vhgh68,"['TurkeyEarthquake', 'BBTitians', 'TurkeyQuake', 'Turkey', 'PrayForTurkey', 'SidKiara', 'earthquake', 'GRAMMYs', 'Turkiye', 'BBTitansXJameson', 'ครูไพบูลย์', '아이엔의_스물셋도_안아줄게요', 'KiaraSidharthwedding', 'HogwartLegacy', 'الهلال_فلامينغو']",none,1,1,0
https://twitter.com/foreverdiina/status/1623065940224008192,foreverdiina,2023-02-07 21:07:29+00:00,‼️My friend here in the UK is desperately trying to get in contact with her children. They briefly spoke this morning using a neighbours phone to tell their mother they’re alive.      ,"['TurkeyEarthquake', 'TurkeyQuake', 'earthquake', 'Turkey', 'PrayForTurkey']",none,4,4,0
https://twitter.com/matthew_kreklau/status/1623065922582769673,matthew_kreklau,2023-02-07 21:07:25+00:00,Don't miss out.                 bhgh68,"['TurkeyEarthquake', 'BBTitians', 'TurkeyQuake', 'Turkey', 'PrayForTurkey', 'SidKiara', 'earthquake', 'GRAMMYs', 'Turkiye', 'BBTitansXJameson', 'ครูไพบูลย์', '아이엔의_스물셋도_안아줄게요', 'KiaraSidharthwedding', 'HogwartLegacy', 'الهلال_فلامينغو']",none,1,1,0
